model,variant,class_id,class_name,ap50_95,ap50
yolov8m_dota,native1536,9,large vehicle,0.5535397640582278,0.7017772298898202
yolov8m_dota,native1536,10,small vehicle,0.18736663624849278,0.3625852762301051
yolov8m_dota,native1536,11,helicopter,0.19468914514183427,0.42699446315855755
yolov8m_dota,native1536,12,roundabout,0.2415821486815827,0.3545854947562629
yolov8m_dota,native1536,13,soccer ball field,0.33062634826929516,0.3935421627607293
yolov8m_dota,native1536,14,swimming pool,0.2102652691933423,0.4552435087528565
yolov8m_dota,native1536,15,container crane,0.015841584158415842,0.019801980198019802
yolov8m_dota,native640,0,plane,0.272452653085632,0.418214251193679
yolov8m_dota,native640,1,ship,0.29396532092409894,0.5410708988652392
yolov8m_dota,native640,2,storage tank,0.12347421392673238,0.23668813030706498
yolov8m_dota,native640,3,baseball diamond,0.20256431647481685,0.3107570535092059
yolov8m_dota,native640,4,tennis court,0.765730805213242,0.8404302455645668
yolov8m_dota,native640,5,basketball court,0.31835326989140145,0.36704933478175616
yolov8m_dota,native640,6,ground track field,0.23993469154424868,0.3253891969187775
yolov8m_dota,native640,7,harbor,0.26215665052514164,0.4774819880772253
yolov8m_dota,native640,8,bridge,0.03584713083398753,0.07599384449527091
yolov8m_dota,native640,9,large vehicle,0.4552361732692837,0.6139222821578052
yolov8m_dota,native640,10,small vehicle,0.08745936317812886,0.16950778748616444
yolov8m_dota,native640,11,helicopter,0.07661989224813,0.19610704104466173
yolov8m_dota,native640,12,roundabout,0.07675923598551807,0.10588848358520062
yolov8m_dota,native640,13,soccer ball field,0.24307740904743905,0.2914944047579934
yolov8m_dota,native640,14,swimming pool,0.07587647379307033,0.1522739979915836
yolov8m_dota,native640,15,container crane,0.0,0.0
yolov8m_dota,tile1024_ov10,0,plane,0.6669468490265583,0.9055278995966238
yolov8m_dota,tile1024_ov10,1,ship,0.6744345003717908,0.9112063097859918
yolov8m_dota,tile1024_ov10,2,storage tank,0.493864376590252,0.7345340028675508
yolov8m_dota,tile1024_ov10,3,baseball diamond,0.45947518011397115,0.7663208280843532
yolov8m_dota,tile1024_ov10,4,tennis court,0.8706711521860354,0.9321447883271281
yolov8m_dota,tile1024_ov10,5,basketball court,0.5228275193100498,0.628856438890942
yolov8m_dota,tile1024_ov10,6,ground track field,0.3859233953282822,0.5918306691828258
yolov8m_dota,tile1024_ov10,7,harbor,0.5073014864036803,0.8030415242680138
yolov8m_dota,tile1024_ov10,8,bridge,0.2632316119123937,0.5216087419422677
yolov8m_dota,tile1024_ov10,9,large vehicle,0.5916527959014366,0.7582191616556808
yolov8m_dota,tile1024_ov10,10,small vehicle,0.3475688850318909,0.6666725163445966
yolov8m_dota,tile1024_ov10,11,helicopter,0.26917294380083523,0.5511777250715116
